Source,Target,value
Figgis,Geralt,6
Ciri,Zoltan,17
Caleb,Ciri,6
Cahir,Mawr,13
Dyffryn,Mawr,6
Maria,Milva,19
Dandelion,Two,10
Cahir,Two,7
Philippa,Yarpen,5
Fabio,Vesemir,6
Fabio,Fringilla,5
Fringilla,Sigrdrifa,6
Freya,Sigrdrifa,6
Daniel,Freya,5
Daniel,Zyvik,6
Jarre,Triss,34
Nenneke,Vysogota,4
Muskrat,Vysogota,2
Ciri,Vysogota,123
Kelpie,Vysogota,26
Ciri,Kelpie,386
Roderick,Vysogota,1
Ciri,Roderick,3
Emhyr,Falka,1
Giselher,Reef,3
Mistle,Reef,6
Falka,Vysogota,10
Asse,Ciri,3
Kayleigh,Valdez,5
Asse,Valdez,2
Mistle,Valdez,3
Ciri,Reef,7
Emhyr,Reef,6
Cirilla,Reef,5
Cirilla,Giselher,9
Mistle,Vysogota,5
Falka,Kelpie,3
Cahir,Maria,1
Dandelion,Roach,5
Cirilla,Vilgefortz,16
Carthia,Vattier,49
Kamil,Schliemann,3
Effenberg,Jan,1
Joanna,Talbot,5
Cirilla,Joanna,2
Dacre,Falka,4
Dacre,Joanna,10
Dacre,Dufficey,4
Dufficey,Neratin,6
Chloe,Neratin,11
Andres,Chloe,18
Andres,Til,6
Dacre,Stefan,15
Bert,Ola,32
Bert,Stefan,4
Neratin,Stefan,13
Bert,Neratin,9
Dacre,Neratin,9
Cyprian,Rispat,5
Chloe,Cyprian,3
Andres,Stigward,11
Dede,Stigward,5
Chloe,Til,5
Falka,Nycklar,17
Ciri,Neratin,8
Boreas,Neratin,29
Boreas,Chloe,16
Andres,Dede,6
Dacre,Til,7
Chloe,Dacre,2
Chloe,Stefan,6
Chloe,Falka,4
Boreas,Falka,6
Baron,Ciri,2
Esterhazy,Neratin,8
Boreas,Esterhazy,3
Chloe,Esterhazy,4
Ciri,Esterhazy,7
Falka,Ola,3
Ciri,Leo,6
Leo,Marquis,1
Ciri,Windsor,17
Declan,Pennycuick,5
Leo,Pennycuick,5
Marquis,Windsor,3
Falka,Windsor,4
Ciri,Stavro,6
Falka,Stavro,6
Ciri,Pennycuick,4
Amaranth,Ciri,9
Ceallach,Geralt,6
Geralt,Vysogota,6
Geralt,Golan,5
Geralt,Novosad,12
Novosad,Yirrel,15
Geralt,Yirrel,3
Geralt,Homer,2
Cregennan,Geralt,5
Geralt,Lara,10
Lara,Vilgefortz,5
Pavetta,Riannon,6
Emhyr,Riannon,4
Anna,Geralt,18
Gabriel,Geralt,3
Baron,Dandelion,1
Effenberg,Flourens,1
Count,Radovid,5
Benda,Milan,3
Benda,Radovid,21
Gedovius,Gemma,21
Gedovius,Radovid,6
Benda,Gedovius,5
Aideen,Gemma,6
Gemma,Radovid,6
Benda,Gemma,4
Gemma,Gerard,5
Esteril,Gerard,5
Esterad,Zuleyka,69
Nicodemus,Vysogota,4
Philippa,Zuleyka,11
Carthia,Emhyr,11
Carthia,Menno,2
Emhyr,Joachim,3
Neratin,Vattier,17
Jediah,Vattier,10
Emhyr,Esteril,3
Ciri,Zuleyka,15
Calanthe,Zuleyka,5
Emhyr,Zuleyka,3
Esterad,Lebioda,4
Esterad,Guiscard,17
